ontology; count_triples; runtime; exitcode
ontologies/2019-09-01/2019-09-01n3; 1522; 30; 0
ontologies/2013-07-29/2013-07-29n3; 112; 20; 0
ontologies/2014-07-22/2014-07-22n3; 135; 19; 0
ontologies/2013-06-19/2013-06-19n3; 44; 17; 0
ontologies/2018-02-14/2018-02-14n3; 885; 22; 0
ontologies/2007-11-19/2007-11-19n3; 380; 20; 0
ontologies/2019-02-04/2019-02-04n3; 611; 20; 0
ontologies/2010-11-17/2010-11-17n3; 127; 20; 0
ontologies/2014-02-26/2014-02-26n3; 865; 17; 0
ontologies/2018-04-06/2018-04-06n3; 771; 23; 0
ontologies/2014-04-24/2014-04-24n3; 1139; 24; 0
ontologies/2013-09-25/2013-09-25n3; 57; 17; 0
ontologies/2016-07-21/2016-07-21n3; 91; 19; 0
ontologies/2015-04-02/2015-04-02n3; 51; 16; 0
ontologies/2010-07-09/2010-07-09n3; 179; 20; 0
ontologies/2013-07-13/2013-07-13n3; 103098; 314; 0
ontologies/2015-04-09/2015-04-09n3; 508; 39; 0
ontologies/2012-04-24/2012-04-24n3; 735; 21; 0
ontologies/2010-10-20/2010-10-20n3; 69; 20; 0
ontologies/2008-11-13/2008-11-13n3; 114; 20; 0
ontologies/2013-11-28/2013-11-28n3; 549; 21; 0
ontologies/2010-10-11/2010-10-11n3; 4971; 34; 0
ontologies/2012-11-04/2012-11-04n3; 711; 22; 0
ontologies/2007-09-17/2007-09-17n3; 112; 19; 0
ontologies/2014-01-09/2014-01-09n3; 125; 18; 0
ontologies/2014-05-23/2014-05-23n3; 468; 19; 0
ontologies/2013-12-16/2013-12-16n3; 487; 21; 0
ontologies/2013-09-24/2013-09-24n3; 349; 21; 0
ontologies/2011-06-28/2011-06-28n3; 245; 20; 0
ontologies/2010-02-20/2010-02-20n3; 632; 21; 0
ontologies/2012-08-28/2012-08-28n3; 726; 20; 0
ontologies/2009-10-07/2009-10-07n3; 253; 20; 0
ontologies/2012-02-29/2012-02-29n3; 3948; 26; 0
ontologies/2004-10-20/2004-10-20n3; 2306; 24; 0
ontologies/2015-03-19/2015-03-19n3; 153; 20; 0
ontologies/2017-03-31/2017-03-31n3; 590; 21; 0
ontologies/2016-02-01/2016-02-01n3; 270; 21; 0
ontologies/2020-08-18/2020-08-18n3; 4519; 33; 0
ontologies/2015-10-01/2015-10-01n3; 3892; 32; 0
ontologies/2012-08-20/2012-08-20n3; 1933; 31; 0
ontologies/2014-04-22/2014-04-22n3; 726; 23; 0
ontologies/2020-06-05/2020-06-05n3; 2621; 30; 0
ontologies/2011-10-06/2011-10-06n3; 188; 20; 0
ontologies/2015-08-13/2015-08-13n3; 35; 19; 0
ontologies/2011-06-01/2011-06-01n3; 1163; 28; 0
ontologies/2006-10-30/2006-10-30n3; 2732; 20; 0
ontologies/2015-04-15/2015-04-15n3; 807; 25; 0
ontologies/2012-11-17/2012-11-17n3; 167; 20; 0
ontologies/2007-06-22/2007-06-22n3; 1168; 25; 0
ontologies/2009-08-18/2009-08-18n3; 60; 18; 0
ontologies/2004-02-23/2004-02-23n3; 156; 19; 0
ontologies/2017-08-23/2017-08-23n3; 223; 20; 0
ontologies/2014-03-24/2014-03-24n3; 212; 20; 0
ontologies/2015-03-05/2015-03-05n3; 398; 20; 0
ontologies/2017-11-27/2017-11-27n3; 1013; 21; 0
ontologies/2020-07-16/2020-07-16n3; 108; 20; 0
ontologies/2012-05-17/2012-05-17n3; 883; 22; 0
ontologies/2013-05-15/2013-05-15n3; 321; 19; 0
ontologies/2007-01-01/2007-01-01n3; 223; 20; 0
ontologies/2013-07-31/2013-07-31n3; 167; 19; 0
ontologies/2011-06-22/2011-06-22n3; 144; 19; 0
ontologies/2019-07-11/2019-07-11n3; 601; 20; 0
ontologies/2018-11-28/2018-11-28n3; 140; 19; 0
ontologies/2010-10-22/2010-10-22n3; 134; 19; 0
ontologies/2011-03-27/2011-03-27n3; 53; 18; 0
ontologies/2011-11-18/2011-11-18n3; 495; 20; 0
ontologies/2014-05-20/2014-05-20n3; 290; 20; 0
ontologies/2016-03-16/2016-03-16n3; 86; 19; 0
ontologies/2017-05-29/2017-05-29n3; 2073; 32; 0
ontologies/2014-05-12/2014-05-12n3; 138; 20; 0
ontologies/2011-06-27/2011-06-27n3; 2071; 29; 0
ontologies/2018-10-31/2018-10-31n3; 56; 17; 0
ontologies/2015-10-04/2015-10-04n3; 1039; 22; 0
ontologies/2015-11-17/2015-11-17n3; 320; 22; 0
ontologies/2012-05-15/2012-05-15n3; 109; 20; 0
ontologies/2010-07-30/2010-07-30n3; 396; 20; 0
ontologies/2012-10-08/2012-10-08n3; 42; 19; 0
ontologies/2014-06-18/2014-06-18n3; 422; 21; 0
ontologies/2012-05-22/2012-05-22n3; 52; 19; 0
ontologies/2014-08-22/2014-08-22n3; 360; 21; 0
ontologies/2014-04-10/2014-04-10n3; 129; 21; 0
ontologies/2017-08-04/2017-08-04n3; 4953; 24; 0
ontologies/2015-12-11/2015-12-11n3; 36381; 105; 0
ontologies/2012-10-11/2012-10-11n3; 231; 18; 0
ontologies/2011-11-21/2011-11-21n3; 87; 19; 0
ontologies/2020-07-12/2020-07-12n3; 1892; 29; 0
ontologies/2010-02-19/2010-02-19n3; 305; 18; 0
ontologies/2008-06-23/2008-06-23n3; 375; 21; 0
ontologies/2011-01-27/2011-01-27n3; 86; 18; 0
ontologies/2014-09-02/2014-09-02n3; 2238; 26; 0
ontologies/2012-01-04/2012-01-04n3; 696; 21; 0
ontologies/2014-01-31/2014-01-31n3; 1086; 25; 0
ontologies/2014-12-10/2014-12-10n3; 1715; 25; 0
ontologies/2016-07-12/2016-07-12n3; 312; 19; 0
ontologies/2013-10-24/2013-10-24n3; 365; 20; 0
ontologies/2008-07-15/2008-07-15n3; 56; 18; 0
ontologies/2013-03-18/2013-03-18n3; 359; 22; 0
ontologies/2018-05-23/2018-05-23n3; 104; 19; 0
ontologies/2011-01-18/2011-01-18n3; 23780; 29; 0
ontologies/2019-01-09/2019-01-09n3; 2221; 29; 0
ontologies/2012-06-04/2012-06-04n3; 95; 20; 0
ontologies/2013-05-03/2013-05-03n3; 621; 23; 0
ontologies/2009-05-16/2009-05-16n3; 1563; 23; 0
ontologies/2008-05-25/2008-05-25n3; 1782; 26; 0
ontologies/2018-09-30/2018-09-30n3; 17730; 37; 0
ontologies/2021-05-27/2021-05-27n3; 516; 22; 0
ontologies/2008-01-15/2008-01-15n3; 90; 19; 0
ontologies/2003-08-19/2003-08-19n3; 891; 22; 0
ontologies/2012-11-28/2012-11-28n3; 735; 21; 0
ontologies/2019-02-20/2019-02-20n3; 212; 19; 0
ontologies/2010-07-21/2010-07-21n3; 449; 20; 0
ontologies/2008-09-08/2008-09-08n3; 217; 17; 0
ontologies/2014-02-03/2014-02-03n3; 2203; 30; 0
ontologies/2015-07-23/2015-07-23n3; 1652; 23; 0
ontologies/2006-10-25/2006-10-25n3; 2728; 21; 0
ontologies/2014-05-05/2014-05-05n3; 64; 19; 0
ontologies/2015-01-18/2015-01-18n3; 1247; 22; 0
ontologies/2014-02-25/2014-02-25n3; 87; 18; 0
ontologies/2014-07-31/2014-07-31n3; 607; 21; 0
ontologies/2013-05-17/2013-05-17n3; 41; 18; 0
ontologies/2020-12-02/2020-12-02n3; 488; 21; 0
ontologies/2012-06-18/2012-06-18n3; 156; 18; 0
ontologies/2012-10-19/2012-10-19n3; 650; 22; 0
ontologies/2010-09-01/2010-09-01n3; 158; 18; 0
ontologies/2014-06-05/2014-06-05n3; 1676; 26; 0
ontologies/2012-07-16/2012-07-16n3; 297; 20; 0
ontologies/2014-09-10/2014-09-10n3; 640; 20; 0
ontologies/2006-10-19/2006-10-19n3; 2718; 21; 0
ontologies/2014-03-23/2014-03-23n3; 4547; 33; 0
ontologies/2012-10-22/2012-10-22n3; 116; 20; 0
ontologies/2003-08-18/2003-08-18n3; 3101; 32; 0
ontologies/2008-01-28/2008-01-28n3; 171; 21; 0
ontologies/2019-05-27/2019-05-27n3; 874; 22; 0
ontologies/2012-09-27/2012-09-27n3; 1933; 30; 0
ontologies/2019-09-07/2019-09-07n3; 2503; 34; 0
ontologies/2015-11-02/2015-11-02n3; 7929; 19; 0
ontologies/2015-02-26/2015-02-26n3; 192; 18; 0
ontologies/2014-03-10/2014-03-10n3; 753; 24; 0
ontologies/2019-07-16/2019-07-16n3; 1306; 26; 0
ontologies/2009-01-24/2009-01-24n3; 521; 22; 0
ontologies/2010-07-23/2010-07-23n3; 101; 19; 0
ontologies/2015-04-30/2015-04-30n3; 736; 21; 0
ontologies/2010-09-14/2010-09-14n3; 91; 19; 0
ontologies/2014-01-29/2014-01-29n3; 227; 20; 0
ontologies/2013-11-05/2013-11-05n3; 372; 20; 0
ontologies/2013-01-08/2013-01-08n3; 101; 19; 0
ontologies/2014-07-19/2014-07-19n3; 276; 19; 0
ontologies/2015-08-11/2015-08-11n3; 129; 21; 0
ontologies/2012-08-13/2012-08-13n3; 342; 19; 0
ontologies/2018-05-02/2018-05-02n3; 2098; 32; 0
ontologies/2015-05-17/2015-05-17n3; 208; 19; 0
ontologies/2013-02-15/2013-02-15n3; 487; 21; 0
ontologies/2005-05-19/2005-05-19n3; 474; 19; 0
ontologies/2010-10-08/2010-10-08n3; 410; 20; 0
ontologies/2020-06-01/2020-06-01n3; 189; 19; 0
ontologies/2015-02-11/2015-02-11n3; 259; 20; 0
ontologies/2014-10-14/2014-10-14n3; 139; 20; 0
ontologies/2008-07-09/2008-07-09n3; 78; 19; 0
ontologies/2010-06-06/2010-06-06n3; 310; 20; 0
ontologies/2012-09-25/2012-09-25n3; 42; 19; 0
ontologies/2013-12-21/2013-12-21n3; 103; 19; 0
ontologies/2014-08-01/2014-08-01n3; 59; 19; 0
ontologies/2015-10-28/2015-10-28n3; 845; 23; 0
ontologies/2009-12-15/2009-12-15n3; 591; 21; 0
ontologies/2014-06-26/2014-06-26n3; 1262; 23; 0
ontologies/2018-05-15/2018-05-15n3; 4462; 34; 0
ontologies/2017-01-03/2017-01-03n3; 2714; 31; 0
ontologies/2013-09-03/2013-09-03n3; 356; 20; 0
ontologies/2007-11-08/2007-11-08n3; 177; 19; 0
ontologies/2019-06-01/2019-06-01n3; 565; 20; 0
ontologies/2015-01-13/2015-01-13n3; 4207; 34; 0
ontologies/2014-08-13/2014-08-13n3; 203; 19; 0
ontologies/2014-08-19/2014-08-19n3; 2266; 25; 0
ontologies/2013-09-02/2013-09-02n3; 1764; 26; 0
ontologies/2010-11-16/2010-11-16n3; 280; 18; 0
ontologies/2015-08-05/2015-08-05n3; 228; 47; 0
ontologies/2015-03-02/2015-03-02n3; 541; 23; 0
ontologies/2020-05-31/2020-05-31n3; 71; 17; 0
ontologies/2012-07-22/2012-07-22n3; 1556; 26; 0
ontologies/2013-04-15/2013-04-15n3; 55; 19; 0
ontologies/2012-02-05/2012-02-05n3; 138; 18; 0
ontologies/2011-05-08/2011-05-08n3; 344; 20; 0
ontologies/2016-04-15/2016-04-15n3; 55; 19; 0
ontologies/2012-10-18/2012-10-18n3; 412; 20; 0
ontologies/2016-04-19/2016-04-19n3; 2070; 30; 0
ontologies/2020-02-11/2020-02-11n3; 1054; 19; 0
ontologies/2013-07-26/2013-07-26n3; 266; 21; 0
ontologies/2013-07-22/2013-07-22n3; 2139; 27; 0
ontologies/2009-03-02/2009-03-02n3; 790; 23; 0
ontologies/2021-02-25/2021-02-25n3; 658; 21; 0
ontologies/2003-07-28/2003-07-28n3; 56; 17; 0
ontologies/2013-04-23/2013-04-23n3; 519; 20; 0
ontologies/2016-05-25/2016-05-25n3; 82; 24; 0
ontologies/2016-07-05/2016-07-05n3; 159; 20; 0
ontologies/2009-11-13/2009-11-13n3; 341; 22; 0
ontologies/2013-11-13/2013-11-13n3; 179; 19; 0
ontologies/2010-10-02/2010-10-02n3; 693; 22; 0
ontologies/2014-05-30/2014-05-30n3; 841; 21; 0
ontologies/2010-03-26/2010-03-26n3; 987; 23; 0
ontologies/2020-04-02/2020-04-02n3; 105; 18; 0
ontologies/2012-07-13/2012-07-13n3; 1807; 25; 0
ontologies/2011-03-06/2011-03-06n3; 216; 20; 0
ontologies/2005-10-23/2005-10-23n3; 608; 20; 0
ontologies/2016-01-01/2016-01-01n3; 509; 22; 0
ontologies/2014-02-20/2014-02-20n3; 480; 20; 0
ontologies/2009-11-15/2009-11-15n3; 450; 20; 0
ontologies/2014-04-01/2014-04-01n3; 54; 18; 0
ontologies/2011-11-05/2011-11-05n3; 141; 19; 0
ontologies/2011-02-10/2011-02-10n3; 3082; 25; 0
ontologies/2016-01-10/2016-01-10n3; 346; 19; 0
ontologies/2012-08-09/2012-08-09n3; 84; 19; 0
ontologies/2020-05-01/2020-05-01n3; 827; 23; 0
ontologies/2009-02-20/2009-02-20n3; 631; 22; 0
ontologies/2012-04-30/2012-04-30n3; 518; 20; 0
ontologies/2011-10-09/2011-10-09n3; 1040; 26; 0
ontologies/2013-10-18/2013-10-18n3; 380; 20; 0
ontologies/2006-05-03/2006-05-03n3; 186; 20; 0
ontologies/2014-01-10/2014-01-10n3; 442; 20; 0
ontologies/2012-12-07/2012-12-07n3; 22; 19; 0
ontologies/2014-07-28/2014-07-28n3; 603; 20; 0
ontologies/2016-03-23/2016-03-23n3; 661; 21; 0
ontologies/2003-12-15/2003-12-15n3; 1530; 23; 0
ontologies/2010-11-15/2010-11-15n3; 2963; 24; 0
ontologies/2009-05-18/2009-05-18n3; 218; 19; 0
ontologies/2010-04-19/2010-04-19n3; 526; 19; 0
